date,portfolio_value,cash,positions_count
2022-04-11,30802977,116,3
2022-04-12,31056361,116,3
2022-04-13,31350044,116,3
2022-04-14,31321947,116,3
2022-04-19,31899420,116,3
2022-04-20,31826770,116,3
2022-04-21,32086182,116,3
2022-04-22,33238169,404,3
2022-04-25,33196890,404,3
2022-04-26,32786528,404,3
2022-04-27,33166753,404,3
2022-04-28,34887174,404,3
2022-04-29,35358474,31,3
2022-05-02,35471607,31,3
2022-05-03,35847895,31,3
2022-05-04,35389500,31,3
2022-05-05,36876571,13253762,2
2022-05-06,39178633,21,3
2022-05-09,37764217,21,3
2022-05-10,38953972,13797807,2
2022-05-11,38991064,13797807,2
2022-05-12,39317979,13797807,2
2022-05-13,41694476,74,3
2022-05-16,41707582,74,3
2022-05-17,42427387,74,3
2022-05-18,41648754,74,3
2022-05-19,40763084,74,3
2022-05-20,43293796,20,3
2022-05-23,43699446,20,3
2022-05-24,42642693,20,3
2022-05-25,42759092,20,3
2022-05-27,44458944,20,3
2022-05-30,51932611,82,3
2022-05-31,50906863,82,3
2022-06-01,51411634,82,3
2022-06-02,52621115,82,3
2022-06-03,52650256,82,3
2022-06-07,56614984,26,3
2022-06-08,56284263,26,3
2022-06-09,54992521,26,3
2022-06-10,53367084,26,3
2022-06-13,54319134,35894587,1
2022-06-14,54351172,17,5
2022-06-15,54513411,17,5
2022-06-16,53094300,17,5
2022-06-17,52883100,17,5
2022-06-20,53135506,17,5
2022-06-21,58499155,34,3
2022-06-22,58303642,34,3
2022-06-23,57183308,34,3
2022-06-27,60008295,34,3
2022-06-28,59244557,34,3
2022-06-29,59386073,125,3
2022-06-30,57646024,125,3
2022-07-01,57654975,125,3
2022-07-04,58814914,24975397,2
2022-07-05,58899918,24975397,2
2022-07-06,60412393,36,3
2022-07-07,63383278,36,3
2022-07-08,63760238,36,3
2022-07-11,62015896,36,3
2022-07-12,62973096,36,3
2022-07-13,65072621,42,3
2022-07-14,63591147,42,3
2022-07-15,64910745,42,3
2022-07-18,66776893,42,3
2022-07-19,66737330,42,3
2022-07-20,67747878,68,3
2022-07-21,67802778,68,3
2022-07-22,66722071,68,3
2022-07-25,66235804,68,3
2022-07-26,67288496,30695082,2
2022-07-27,69340307,132,3
2022-07-28,70491567,132,3
2022-07-29,71615947,132,3
2022-08-01,71135847,132,3
2022-08-02,70573356,132,3
2022-08-03,75055569,22,3
2022-08-04,75045831,22,3
2022-08-05,74926493,22,3
2022-08-08,75551632,22,3
2022-08-09,75885402,22,3
2022-08-10,76414507,22,3
2022-08-11,75586002,22,3
2022-08-12,76105385,22,3
2022-08-15,76554053,22,3
2022-08-16,77683553,22,3
2022-08-17,77986122,22,3
2022-08-18,78635767,22,3
2022-08-19,78929499,22,3
2022-08-22,78825787,22,3
2022-08-23,78797710,22,3
2022-08-24,78183476,22,3
2022-08-25,78614269,22,3
2022-08-26,77742643,22,3
2022-08-29,76918638,22,3
2022-08-30,76867057,22,3
2022-08-31,82693636,71,3
2022-09-01,80375640,71,3
2022-09-02,81021160,20951168,2
2022-09-05,79374782,20951168,2
2022-09-06,79443211,20951168,2
2022-09-07,80894543,76,3
2022-09-08,82363224,76,3
2022-09-09,82527042,76,3
2022-09-12,84257696,76,3
2022-09-13,83086042,76,3
2022-09-14,87461391,7,3
2022-09-15,87090415,7,3
2022-09-16,86230718,7,3
2022-09-19,86894158,7,3
2022-09-20,85120509,7,3
2022-09-21,88691045,17,3
2022-09-22,87788998,17,3
2022-09-23,85514824,17,3
2022-09-26,88903182,34396813,2
2022-09-27,95646511,70382030,1
2022-09-28,95575537,10,3
2022-09-29,93992035,10,3
2022-09-30,95026865,10,3
2022-10-03,96965171,10,3
2022-10-04,98196200,10,3
2022-10-05,99592232,26,3
2022-10-06,99931578,26,3
2022-10-07,99478609,26,3
2022-10-10,99758056,26,3
2022-10-11,99960942,26,3
2022-10-12,104961294,140,6
2022-10-13,113669704,40867247,5
2022-10-14,113809097,40867247,5
2022-10-17,115216868,40867247,5
2022-10-18,116138900,40867247,5
2022-10-19,117684494,4,5
2022-10-20,117442086,4,5
2022-10-21,112528161,4,5
2022-10-24,122833687,33806263,4
2022-10-25,127340572,33806263,4
2022-10-26,128929030,19,3
2022-10-27,128348463,19,3
2022-10-28,127765764,19,3
2022-10-31,126717131,19,3
2022-11-01,129180493,45398142,2
2022-11-02,130962882,109,6
2022-11-03,128548721,109,6
2022-11-04,130796205,109,6
2022-11-07,131803072,109,6
2022-11-08,134001324,109,6
2022-11-09,135598794,52134704,3
2022-11-10,137240797,52134704,3
2022-11-11,136828388,52134704,3
2022-11-14,137566494,52134704,3
2022-11-15,136808142,52134704,3
2022-11-16,137175254,22,4
2022-11-17,137223887,22,4
2022-11-18,138622044,22,4
2022-11-21,139310942,22,4
2022-11-22,139984476,22,4
2022-11-23,141276290,21,4
2022-11-24,142062022,21,4
2022-11-25,141879834,21,4
2022-11-28,140586304,21,4
2022-11-29,139787930,21,4
2022-11-30,141187646,37243997,3
2022-12-01,143208142,37243997,3
2022-12-02,143685014,37243997,3
2022-12-05,143208853,37243997,3
2022-12-06,141633933,37243997,3
2022-12-07,142129792,38,3
2022-12-08,142757073,38,3
2022-12-09,143484879,38,3
2022-12-12,143483820,38,3
2022-12-13,144027096,38,3
2022-12-14,157702296,124,9
2022-12-15,154470708,124,9
2022-12-16,151229828,124,9
2022-12-19,152148489,40649755,6
2022-12-20,160257056,91977826,5
2022-12-21,161863497,22,3
2022-12-22,161058539,22,3
2022-12-23,162623821,22,3
2022-12-27,162817157,22,3
2022-12-28,161767627,22,3
2022-12-29,171806761,24,10
2022-12-30,168670055,24,10
2023-01-02,171691382,10294691,9
2023-01-03,173009381,10294691,9
2023-01-04,173663994,10294691,9
2023-01-05,176948575,23195811,8
2023-01-09,179379804,23195811,8
2023-01-10,178700845,23195811,8
2023-01-11,179058847,23195811,8
2023-01-12,180861244,23195811,8
2023-01-13,179964638,5,10
2023-01-16,181237024,5,10
2023-01-17,181943618,5,10
2023-01-18,180751578,5,10
2023-01-19,178551344,5,10
2023-01-20,180623051,5,10
2023-01-23,181695940,5,10
2023-01-24,180953065,5,10
2023-01-25,179996388,5,10
2023-01-26,177331173,11095590,9
2023-01-27,179046392,185,13
2023-01-30,178954458,185,13
2023-01-31,177933974,185,13
2023-02-01,179304829,185,13
2023-02-02,183582348,185,13
2023-02-03,182064386,185,13
2023-02-06,179071788,185,13
2023-02-07,178947255,185,13
2023-02-08,179091564,185,13
2023-02-09,177177727,185,13
2023-02-10,177636260,11328342,12
2023-02-13,180266856,11328342,12
2023-02-14,180852046,11328342,12
2023-02-15,182785840,11328342,12
2023-02-16,183402297,11328342,12
2023-02-17,183542766,62,13
2023-02-20,182240970,62,13
2023-02-21,180874422,62,13
2023-02-22,183892313,62,13
2023-02-23,183974583,62,13
2023-02-24,184306147,27280376,11
2023-02-27,186075991,27280376,11
2023-02-28,184872106,27280376,11
2023-03-01,183660146,27280376,11
2023-03-02,184187036,27280376,11
2023-03-03,186474970,39397153,10
2023-03-06,187011325,39397153,10
2023-03-07,185917147,39397153,10
2023-03-08,186884115,39397153,10
2023-03-09,186871026,39397153,10
2023-03-10,187033576,110,3
