date,portfolio_value
2023-10-06,112900.13809299469
2023-10-09,111853.58531093597
2023-10-10,114241.9284067154
2023-10-11,113466.03477573395
2023-10-12,113821.74161052704
2023-10-13,111667.06674480438
2023-10-16,111466.5912656784
2023-10-17,111054.70394992828
2023-10-18,109236.84562778473
2023-10-19,108274.30238628387
2023-10-20,106391.05986881256
2023-10-23,106396.07426738739
2023-10-24,108048.35479068756
2023-10-25,106564.6122674942
2023-10-26,106281.34236240387
2023-10-27,106158.6503458023
2023-10-30,106218.89421367645
2023-10-31,107430.86197185516
2023-11-01,107214.5381860733
2023-11-02,109893.31565189362
2023-11-03,111183.56775188446
2023-11-06,110873.87497806549
2023-11-07,110637.18868350983
2023-11-08,110579.70701885223
2023-11-09,112507.91922855377
2023-11-10,110609.29186534882
2023-11-13,110596.75883769989
2023-11-14,113888.20059490204
2023-11-15,113212.84391880035
2023-11-16,111345.66421794891
2023-11-17,113206.08398532867
2023-11-20,113444.2939786911
2023-11-21,111998.55704402924
2023-11-22,112888.55829143524
2023-11-23,114171.80810642242
2023-11-24,114667.08468151093
2023-11-27,113915.38141155243
2023-11-28,112580.08628940582
2023-11-29,113656.15800762177
2023-11-30,113529.40728092194
2023-12-01,114287.76375102997
2023-12-04,114237.02634716034
2023-12-05,115837.34499454498
2023-12-06,118396.99855899811
2023-12-07,118040.02233982086
2023-12-08,119483.3136472702
2023-12-11,120751.96770763397
2023-12-12,117799.67362499237
2023-12-13,117208.37715244293
2023-12-14,121494.0575094223
2023-12-15,121931.72202587128
2023-12-18,121461.8889875412
